 temprature, rainfall, humidity, yeild_apples
20.81 0.04 46.05 29.28
64.37 90.20 30.13 52.42
35.18 5.48 18.21 20.76
56.63 78.24 63.33 64.30
15.48 73.22 29.76 34.17
44.89 41.75 82.05 62.84
29.01 12.88 97.54 60.05
20.38 58.91 48.03 41.91
22.54 36.45 72.69 50.40
10.96 11.14 9.82 10.43
35.87 37.48 52.00 44.26
53.43 45.34 89.58 69.89
83.93 73.53 8.19 43.98
98.68 50.62 50.11 64.78
85.81 82.09 49.77 67.05
2.64 30.69 92.85 53.35
58.10 10.84 77.32 58.26
28.07 28.25 72.93 50.54
60.68 85.74 77.35 74.03
53.54 0.48 75.30 53.81
98.77 26.79 26.32 48.15
7.84 96.46 48.19 45.74
48.98 91.35 36.87 51.40
84.50 51.90 89.14 80.30
96.14 20.41 80.86 73.35
15.56 29.89 2.83 12.06
36.34 43.36 78.04 58.59
60.31 72.43 91.04 78.10
20.00 30.82 68.93 46.63
46.34 81.16 71.34 65.80
80.50 1.67 17.41 33.19
88.16 7.43 29.35 42.61
47.97 41.64 16.45 30.94
93.16 29.45 22.17 44.92
56.91 53.60 72.13 63.86
16.89 55.91 95.34 63.92
48.22 69.91 30.45 43.67
39.32 42.91 13.42 27.09
14.56 65.12 43.12 38.95
91.38 53.93 37.28 56.84
95.06 18.07 20.44 42.35
41.31 19.36 51.95 42.24
52.14 86.21 97.76 81.76
93.39 78.01 58.40 72.82
84.23 56.45 87.86 80.49
36.72 73.30 40.15 45.75
61.53 23.79 23.70 35.07
74.60 65.88 48.04 59.58
25.59 6.28 91.71 54.79
45.34 63.19 86.35 69.41
6.90 92.78 91.59 66.42
15.73 46.11 64.71 46.30
13.71 51.98 98.05 63.53
71.94 11.11 96.67 72.14
78.68 22.60 14.03 35.14
27.32 18.24 9.97 16.83
34.72 90.96 67.57 62.39
42.45 9.74 28.29 28.83
53.06 83.07 56.98 61.02
93.70 6.05 93.87 76.25
73.93 95.50 51.06 66.81
62.04 68.80 37.46 51.10
2.81 96.53 15.00 27.65
7.23 22.01 0.40 6.77
75.25 37.57 98.81 79.49
10.70 0.55 40.99 23.82
14.68 21.09 24.34 20.79
22.63 92.31 10.54 30.52
75.75 60.41 12.50 41.06
46.43 73.05 45.14 51.11
67.68 72.23 19.42 44.46
58.27 47.42 62.47 58.20
93.55 12.78 76.79 69.02
51.50 51.59 69.00 60.27
87.13 80.13 51.10 67.72
70.57 19.33 63.59 56.83
87.50 35.32 2.99 34.81
11.14 2.24 58.40 32.99
5.81 4.91 12.05 8.75
59.77 23.78 28.81 37.09
20.27 54.83 64.37 49.23
54.21 3.45 21.21 27.56
45.56 49.00 26.41 36.67
10.13 36.76 60.05 40.42
51.52 93.30 64.45 66.34
9.85 80.72 79.56 58.88
82.46 18.35 25.48 41.15
80.32 50.57 21.78 45.10
71.84 71.34 61.80 66.72
30.71 98.44 30.60 44.20
13.99 1.95 68.35 38.76
45.92 85.34 24.56 43.12
53.03 84.43 1.49 33.54
13.69 92.42 43.39 44.29
88.91 38.43 53.09 60.90
75.40 50.60 89.00 77.24
74.73 60.54 32.54 50.80
10.54 28.54 45.38 31.56
64.12 85.31 94.18 83.39
27.60 3.88 34.00 26.06
56.82 16.34 60.41 50.52
0.42 3.25 15.96 8.76
94.78 47.07 35.84 55.77
45.17 63.60 83.46 68.00
65.83 75.07 45.77 57.65
21.52 18.85 38.64 29.55
76.99 33.81 64.55 62.13
16.93 41.91 54.12 40.52
59.24 86.80 54.62 62.44
60.49 16.36 66.93 54.88
76.08 45.92 72.69 68.35
44.42 81.29 29.99 44.58
45.94 59.66 20.00 35.71
64.59 18.63 11.55 28.88
84.07 55.00 35.87 54.16
13.24 8.72 89.45 50.44
27.21 70.79 10.25 27.45
85.83 69.59 52.20 65.77
64.49 49.92 71.26 64.96
88.41 74.81 33.49 58.23
51.99 42.60 7.87 28.05
