temprature,rainfall,humidity
20.81,0.04,46.05
64.37,90.20,30.13
35.18,5.48,18.21
56.63,78.24,63.33
15.48,73.22,29.76
44.89,41.75,82.05
29.01,12.88,97.54
20.38,58.91,48.03
22.54,36.45,72.69
10.96,11.14,9.82
35.87,37.48,52.00
53.43,45.34,89.58
83.93,73.53,8.19
98.68,50.62,50.11
85.81,82.09,49.77
2.64,30.69,92.85
58.10,10.84,77.32
28.07,28.25,72.93
60.68,85.74,77.35
53.54,0.48,75.30
98.77,26.79,26.32
7.84,96.46,48.19
48.98,91.35,36.87
84.50,51.90,89.14
96.14,20.41,80.86
15.56,29.89,2.83
36.34,43.36,78.04
60.31,72.43,91.04
20.00,30.82,68.93
46.34,81.16,71.34
80.50,1.67,17.41
88.16,7.43,29.35
47.97,41.64,16.45
93.16,29.45,22.17
56.91,53.60,72.13
16.89,55.91,95.34
48.22,69.91,30.45
39.32,42.91,13.42
14.56,65.12,43.12
91.38,53.93,37.28
95.06,18.07,20.44
41.31,19.36,51.95
52.14,86.21,97.76
93.39,78.01,58.40
84.23,56.45,87.86
36.72,73.30,40.15
61.53,23.79,23.70
74.60,65.88,48.04
25.59,6.28,91.71
45.34,63.19,86.35
6.90,92.78,91.59
15.73,46.11,64.71
13.71,51.98,98.05
71.94,11.11,96.67
78.68,22.60,14.03
27.32,18.24,9.97
34.72,90.96,67.57
42.45,9.74,28.29
53.06,83.07,56.98
93.70,6.05,93.87
73.93,95.50,51.06
62.04,68.80,37.46
2.81,96.53,15.00
7.23,22.01,0.40
75.25,37.57,98.81
10.70,0.55,40.99
14.68,21.09,24.34
22.63,92.31,10.54
75.75,60.41,12.50
46.43,73.05,45.14
67.68,72.23,19.42
58.27,47.42,62.47
93.55,12.78,76.79
51.50,51.59,69.00
87.13,80.13,51.10
70.57,19.33,63.59
87.50,35.32,2.99
11.14,2.24,58.40
5.81,4.91,12.05
59.77,23.78,28.81
20.27,54.83,64.37
54.21,3.45,21.21
45.56,49.00,26.41
10.13,36.76,60.05
51.52,93.30,64.45
9.85,80.72,79.56
82.46,18.35,25.48
80.32,50.57,21.78
